gene_symbol	gene_id	chrom	pops_score	magma_z	magma_p
PNKP	ENSG00000039650	19	0.18409268635150627	-0.1947	0.57719
COG5	ENSG00000164597	7	0.1840855426611207	-0.25056999999999996	0.5989300000000001
FAM219B	ENSG00000178761	15	0.18406026069077552	1.5699	0.058225
ELP2	ENSG00000134759	18	0.18402865373197572	2.8541	0.0021577
BAI1	ENSG00000181790	8	0.18402344739063747		
CTDSP2	ENSG00000175215	12	0.18400451900998094	0.6110399999999999	0.27059
PSMC3	ENSG00000165916	11	0.183995452553274	2.3692	0.008913200000000001
STOML2	ENSG00000165283	9	0.1839730234813289	2.6393	0.0041533
PPP1R7	ENSG00000115685	2	0.18386882189661904	-0.087525	0.53487
TCEB2	ENSG00000103363	16	0.18384779922138986	0.69826	0.24251
CCDC25	ENSG00000147419	8	0.1837833845315891	2.0183	0.02178
ZNF76	ENSG00000065029	6	0.18376326859544126	0.47193	0.31849
KCNIP1	ENSG00000182132	5	0.18375791584531956	1.8829	0.029854000000000002
FGFR1OP2	ENSG00000111790	12	0.18374317503005752	-0.5995	0.72558
C19orf60	ENSG00000006015	19	0.1836076660346824	0.57433	0.28286999999999995
ACD	ENSG00000102977	16	0.18344465285837191	2.1388	0.016225
MRFAP1	ENSG00000179010	4	0.18343799614754588	-0.39734	0.6544399999999999
WSB1	ENSG00000109046	17	0.1833939662076992	-0.73627	0.76922
RRNAD1	ENSG00000143303	1	0.18331106385793272	0.86141	0.19451
SEPT9	ENSG00000184640	17	0.1832850348537913	0.8471200000000001	0.19846
NADK	ENSG00000008130	1	0.183193456377145	0.98611	0.16204000000000002
ETV6	ENSG00000139083	12	0.18316497891202496	2.7485	0.002993
NF2	ENSG00000186575	22	0.18311573948798585	2.8225	0.0023826999999999997
ZFYVE16	ENSG00000039319	5	0.1830024771405631	1.2278	0.10976
COPS2	ENSG00000166200	15	0.1829303440115103	3.3571	0.00039384
TMEM243	ENSG00000135185	7	0.18288514293989466	4.2521	1.0587e-05
TAOK3	ENSG00000135090	12	0.18277607145140465	1.3009	0.096652
ZNF512B	ENSG00000196700	20	0.18277446994216745	2.2825	0.011231
CKAP4	ENSG00000136026	12	0.18272067819930693	2.2761	0.011419
MMP24	ENSG00000125966	20	0.18268373038875574	2.0928	0.018184
ZNF326	ENSG00000162664	1	0.18267630914674587	-0.30594	0.6201800000000001
CAMK1G	ENSG00000008118	1	0.18264579267934947	1.7724	0.038168
PCGF5	ENSG00000180628	10	0.18262590357443528	0.61258	0.27008000000000004
GTF2A1	ENSG00000165417	14	0.182439706814449	3.9894	3.3116999999999995e-05
SEL1L3	ENSG00000091490	4	0.18238887037426127	1.6962	0.044922000000000004
GALNT14	ENSG00000158089	2	0.18237813723605245	1.7747	0.037977
SRPRB	ENSG00000144867	3	0.18237811176202545	1.6157	0.053084000000000006
COX5A	ENSG00000178741	15	0.1823026983332656	1.5523	0.060297
MIEF1	ENSG00000100335	22	0.18226997896437705	2.8844	0.0019609000000000002
TAB2	ENSG00000055208	6	0.18211561994931716	0.45213000000000003	0.32559
PSMD4	ENSG00000159352	1	0.1820725208292248	-0.7703800000000001	0.77946
PIBF1	ENSG00000083535	13	0.1820676537015199	2.5285	0.0057272
C3orf14	ENSG00000114405	3	0.182040715902634	1.5806	0.056989
SNRPA	ENSG00000077312	19	0.18198080751329027	-1.4579	0.9275700000000001
VPS13C	ENSG00000129003	15	0.18189978433453252	1.1899	0.11704
CS	ENSG00000062485	12	0.18187978483010656	1.2744	0.10126
RAD52	ENSG00000002016	12	0.1818663070025504	1.2482	0.10599000000000001
DCTN3	ENSG00000137100	9	0.18174010490557296	1.6233	0.052262
KDELR2	ENSG00000136240	7	0.18169482379844235	1.4265	0.076864
