dataset,compartment,stratum,age_group,metric,n_donor,point,ci_lo,ci_hi,n_young,n_old,power_at_d_observed,mannwhitney_p
HLMA,Vascular,within_tech_snRNA,old_vs_young_effect,SASP_high_fraction,22,0.9781522564030268,0.6595611665409477,1.5255572326556328,7.0,15.0,0.5294708826952471,0.00737532150365088
HLMA,Vascular,within_tech_snRNA,old_vs_young_effect,senescence_score,22,-1.1111527342791567,-2.7135131068364386,-0.09578618938175894,7.0,15.0,0.6367938233175593,0.021284829721362225
HLMA,Vascular,within_country_China,young,mean_SASP,5,-0.03696286773847708,-0.11845160050732129,0.1010803161184554,,,,
HLMA,Vascular,within_country_China,young,SASP_high_fraction,5,0.13115132385192332,0.01015712657150656,0.34431914738384,,,,
HLMA,Vascular,within_country_China,young,senescence_score,5,0.01426267421680447,-0.0013898692430955632,0.029854033704416343,,,,
HLMA,Vascular,within_country_China,young,total_load_caveat,5,43.94477131368055,-72.81048454681303,241.29584954154498,,,,
HLMA,Vascular,within_country_China,old,mean_SASP,9,0.05849084108985639,-0.018733205928585718,0.1408679705724281,,,,
HLMA,Vascular,within_country_China,old,SASP_high_fraction,9,0.3007666569411478,0.15915832937493454,0.4560610210581339,,,,
HLMA,Vascular,within_country_China,old,senescence_score,9,-0.016061123825241955,-0.020344454939193252,-0.010735848753802681,,,,
HLMA,Vascular,within_country_China,old,total_load_caveat,9,281.8146754223182,1.2716690925521614,699.774586317501,,,,
HLMA,Vascular,within_country_China,old_vs_young_effect,mean_SASP,14,0.6917963122394536,-0.3477231108839429,2.2368638683930246,5.0,9.0,0.2078379200208305,0.05994005994005994
HLMA,Vascular,within_country_China,old_vs_young_effect,SASP_high_fraction,14,0.7017023891022862,-0.3183025835599992,2.0876396222149496,5.0,9.0,0.21247978490668776,0.05994005994005994
