gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
FTX,-0.12171802669763565,0.3540491759777069,-0.47576719522476196,9.274993033336081e-170,6.777526159241787e-168,True
ID3,0.09055618941783905,-0.38189753890037537,0.4724537134170532,1.4961871226832279e-190,1.2135174246621584e-188,True
OAZ1,0.17536233365535736,-0.29386377334594727,0.4692261219024658,3.374495853559782e-168,2.4428038558608113e-166,True
TSC22D3,0.206841841340065,-0.2619677782058716,0.4688096046447754,2.3213995095122782e-164,1.6496312156701586e-162,True
DDX3X,0.2135164439678192,-0.25271815061569214,0.46623459458351135,2.3020018439684506e-160,1.6172998442556577e-158,True
RORA,-0.16578997671604156,0.29959532618522644,-0.4653853178024292,6.524618315015427e-161,4.594369301230067e-159,True
KAZN,-0.15277934074401855,0.31169775128364563,-0.4644770920276642,1.6506896907706702e-157,1.1492880604302847e-155,True
RASD1,0.053679466247558594,-0.41014736890792847,0.46382683515548706,4.548624339748299e-185,3.5951537734291214e-183,True
TUBA1B,0.07042534649372101,-0.3928539454936981,0.4632793068885803,9.59988779142617e-165,6.837547665327748e-163,True
ANXA2,0.1670408844947815,-0.2868090271949768,0.4538499116897583,2.6659868264775105e-144,1.7649630308707844e-142,True
CCN2,0.2026658058166504,-0.2507009506225586,0.453366756439209,1.246295562566506e-159,8.716473005642902e-158,True
EIF4A3,0.04462742805480957,-0.40203434228897095,0.4466617703437805,4.821927547503211e-185,3.801470259651196e-183,True
DLG2,-0.20680274069309235,0.23926053941249847,-0.4460632801055908,6.457873507135739e-145,4.293654396385978e-143,True
BTG1,0.12786586582660675,-0.3180792033672333,0.4459450840950012,2.1797241038896517e-154,1.4974366277342145e-152,True
IRF1,0.19676941633224487,-0.2442227303981781,0.440992146730423,2.4140390257605653e-159,1.6845534039445856e-157,True
S100A10,0.1728459745645523,-0.26797688007354736,0.4408228397369385,8.68452308912357e-135,5.5478882241302185e-133,True
TTN-AS1,-0.3755210340023041,0.06413379311561584,-0.4396548271179199,7.32683710451367e-173,5.417837565850765e-171,True
SELENOM,0.19077248871326447,-0.24802400171756744,0.4387964904308319,2.920715557632474e-139,1.8931491657348733e-137,True
SPARCL1,0.18004581332206726,-0.25812023878097534,0.4381660521030426,7.312266434301568e-136,4.680908077148048e-134,True
AC013716.1,-0.17816847562789917,0.25847816467285156,-0.43664664030075073,1.707009733645845e-123,1.0210093161689037e-121,True
SERPINF1,0.13114869594573975,-0.30470651388168335,0.4358552098274231,1.9988475366587945e-133,1.2613094343849171e-131,True
AC098650.1,-0.054120998829603195,0.378976970911026,-0.4330979585647583,1.2836957144303553e-118,7.47607975943528e-117,True
ANXA1,0.192667618393898,-0.23735763132572174,0.43002524971961975,2.4837857770448417e-132,1.560956079719682e-130,True
TUBB4B,0.05795155465602875,-0.3690539002418518,0.42700546979904175,1.8741424364390146e-154,1.290367891293111e-152,True
DLEU2,-0.1648750901222229,0.26118552684783936,-0.42606061697006226,1.10735769704707e-133,7.016209310349566e-132,True
CEBPD,0.21508300304412842,-0.21003657579421997,0.4251195788383484,4.2647910290657107e-134,2.707705337162765e-132,True
AL445250.1,-0.20609550178050995,0.21630701422691345,-0.4224025011062622,4.2044493957256124e-134,2.674875885580424e-132,True
HEXIM1,0.2484997659921646,-0.173792764544487,0.4222925305366516,6.622583221151621e-136,4.248188321758606e-134,True
MIR99AHG,-0.061224281787872314,0.3609817624092102,-0.4222060441970825,2.878358619087772e-131,1.8016199009130595e-129,True
HSPB1,0.10162518173456192,-0.31982019543647766,0.421445369720459,4.030901708291327e-128,2.4779648338886942e-126,True
GSN,0.4105730354785919,-0.0054087210446596146,0.4159817695617676,3.5087826452635974e-188,2.809111439230027e-186,True
DCN,0.2954976260662079,-0.11867781728506088,0.41417545080184937,4.299162780149076e-142,2.822054246130484e-140,True
IER3,0.05216505751013756,-0.36038193106651306,0.4125469923019409,5.545955517781395e-153,3.784809246859492e-151,True
SRSF3,0.16648723185062408,-0.2441013604402542,0.4105885922908783,2.020676598408449e-123,1.2062933149997875e-121,True
TMEM59,0.1718868762254715,-0.2382679283618927,0.4101548194885254,2.32475844078373e-121,1.3798465664904657e-119,True
IFI6,0.1879410296678543,-0.22161763906478882,0.40955865383148193,1.6804203192001868e-129,1.0412892549955879e-127,True
EIF5,0.15925848484039307,-0.24899430572986603,0.4082527756690979,4.105669219791352e-127,2.504054122771564e-125,True
AFF3,-0.17935679852962494,0.22538094222545624,-0.4047377407550812,1.1438548898159389e-124,6.868227916892875e-123,True
HLA-B,0.16867110133171082,-0.23583702743053436,0.404508113861084,3.407057745960659e-116,1.962097958050169e-114,True
MAFB,0.24260008335113525,-0.16100652515888214,0.4036065936088562,9.21081300165927e-127,5.60665263713967e-125,True
AL590807.1,-0.22219568490982056,0.1790888011455536,-0.40128448605537415,3.5170517493707154e-126,2.1241484278899198e-124,True
ADAMTS1,0.1153373196721077,-0.28585776686668396,0.40119507908821106,1.1093014864839317e-129,6.887672937020372e-128,True
H2AFZ,0.11017307639122009,-0.2892704904079437,0.3994435667991638,6.410045387242805e-130,3.988000727569153e-128,True
PTPRS,-0.09845852851867676,0.3002045154571533,-0.3986630439758301,7.066073530849515e-109,3.888599577376741e-107,True
CEBPB,0.09464293718338013,-0.301017701625824,0.3956606388092041,3.0526370949563644e-127,1.8654803769829002e-125,True
IMMP2L,-0.0940161794424057,0.3009307086467743,-0.3949468731880188,5.2333053750719014e-111,2.9320705322939006e-109,True
ITM2A,0.1994353085756302,-0.19311974942684174,0.3925550580024719,3.464421097222582e-118,2.0138491342447894e-116,True
HSP90B1,0.07190060615539551,-0.31851926445961,0.3904198706150055,1.8989681493849578e-110,1.056296771497202e-108,True
TMBIM6,0.144765242934227,-0.2452455461025238,0.3900107741355896,3.6836053128959236e-107,1.9952647449205314e-105,True
HSPA5,0.06139411777257919,-0.3271441161632538,0.3885382413864136,5.663849328889128e-116,3.2557150975319454e-114,True
AC016876.2,0.2100011557340622,-0.17576538026332855,0.38576653599739075,2.4556396050605052e-123,1.4631361900690314e-121,True
FBLN2,0.3153893053531647,-0.06859500706195831,0.3839843273162842,3.4189694090960433e-122,2.03320401539391e-120,True
PRDX1,0.10869596898555756,-0.2749965786933899,0.38369256258010864,9.666696922021326e-112,5.435631047821901e-110,True
H3F3A,0.13742567598819733,-0.24583368003368378,0.3832593560218811,8.947122776367975e-111,4.994751441084846e-109,True
DDX5,0.17031748592853546,-0.2123277187347412,0.3826451897621155,5.366128156542332e-106,2.896493879340611e-104,True
NAALADL2,-0.14781886339187622,0.2341604232788086,-0.3819792866706848,4.114223100112781e-105,2.201571231619936e-103,True
PPIB,0.04559263214468956,-0.3352651596069336,0.38085779547691345,2.2075022566501968e-110,1.2257176060536388e-108,True
LMNA,0.15698561072349548,-0.22363848984241486,0.38062411546707153,2.1217872377280317e-108,1.1594238798329384e-106,True
CFL1,0.04770428687334061,-0.33289799094200134,0.38060227036476135,1.54486802018409e-112,8.734424428715997e-111,True
AL162258.1,0.21938449144363403,-0.16097064316272736,0.3803551197052002,1.257104681474894e-108,6.881426562921668e-107,True
NCL,0.08803535252809525,-0.2923087775707245,0.38034412264823914,5.98861958531747e-106,3.2268765323807164e-104,True
TXN,0.05938790366053581,-0.32059648633003235,0.37998437881469727,4.815051980732519e-119,2.820127703573452e-117,True
NAV3,-0.14956501126289368,0.22955000400543213,-0.3791150152683258,6.987630260891367e-106,3.7586414648124513e-104,True
KLF2,0.1965850442647934,-0.18244732916355133,0.3790323734283447,1.1907340022735506e-107,6.483745446826261e-106,True
C1S,0.3307117819786072,-0.047121092677116394,0.37783288955688477,5.136427700310327e-112,2.8934898079766336e-110,True
WWOX,-0.11374232172966003,0.2630924582481384,-0.37683477997779846,1.1219598957608962e-98,5.803286051812997e-97,True
LUC7L3,-0.14186805486679077,0.23473456501960754,-0.3766026198863983,3.9611978847621214e-112,2.2355153745643863e-110,True
XGY1,-0.132198765873909,0.24400097131729126,-0.37619972229003906,1.132458619182251e-87,5.3649794186733456e-86,True
EIF4A1,0.22401320934295654,-0.15121358633041382,0.37522679567337036,3.5242893733061176e-115,2.022093660243397e-113,True
CD59,0.16786406934261322,-0.20679311454296112,0.37465718388557434,5.870845141149313e-109,3.2365906585094156e-107,True
