compartment,direction,rank,gene_symbol,log2FC,wald_stat,p_value,ensg_versioned
FAP,DOWN,54,TRIM5,-1.13203050711757,-3.9504496722868834,7.800449975258371e-05,ENSG00000132256.20
FAP,DOWN,55,LINC02580,-1.8072284092037276,-3.949147151513063,7.843012869258668e-05,
FAP,DOWN,56,ZMYND8,-0.5711899232169392,-3.931626198334472,8.437318565985399e-05,ENSG00000101040.20
FAP,DOWN,57,LRRC7,-2.356387384853901,-3.927814916811062,8.57211375577637e-05,ENSG00000033122.21
FAP,DOWN,58,CDK8,-1.5563034844603405,-3.906956900701237,9.346581729098844e-05,ENSG00000132964.12
FAP,DOWN,59,PAPPA,-1.5486953344854275,-3.9010128751276234,9.57910555213173e-05,ENSG00000182752.10
FAP,DOWN,60,EFCC1,-2.852329895848896,-3.892877568921943,9.90621524961018e-05,ENSG00000114654.8
FAP,DOWN,61,AC117503.4,-19.326253127098884,-3.783273274461212,0.0001547793157068,
FAP,DOWN,62,ARHGAP18,-1.072240481451029,-3.77321311769561,0.0001611585101666,ENSG00000146376.11
FAP,DOWN,63,FNBP1,-0.5630751552518254,-3.755395947647836,0.0001730676530331,ENSG00000187239.17
FAP,DOWN,64,ELMOD1,-1.6621443741707993,-3.7548006472020856,0.0001734794987217,ENSG00000110675.13
FAP,DOWN,65,ACTN3,-3.9375435279558753,-3.736033510182893,0.0001869457664166,ENSG00000248746.6
FAP,DOWN,66,TYRL,-11.98758289647122,-3.73125694461259,0.0001905267756665,ENSG00000123447.6
FAP,DOWN,67,LINC00672,-1.6918811654951038,-3.719950535760925,0.0001992617991833,ENSG00000263874.2
FAP,DOWN,68,ADSSL1,-3.294684770261541,-3.697316324392713,0.0002178907661279,ENSG00000185100.11
FAP,DOWN,69,SLITRK4,-2.3935371536638432,-3.6910475346025473,0.0002233323920036,ENSG00000179542.16
FAP,DOWN,70,B3GLCT,-1.4266484541165056,-3.682928897072034,0.0002305694864735,ENSG00000187676.8
FAP,DOWN,71,FSIP2,-2.0814652644325733,-3.636543826485702,0.0002763206474887,ENSG00000188738.16
FAP,DOWN,72,BCL7A,-1.3079715567143066,-3.6258873229693647,0.0002879709095488,ENSG00000110987.9
FAP,DOWN,73,FAM198B-AS1,-1.7508914000495115,-3.622971454604959,0.0002912379734737,
FAP,DOWN,74,MYH2,-4.858644621758122,-3.6227297481168574,0.0002915103444027,ENSG00000125414.19
FAP,DOWN,75,AL358781.1,-2.394722687910504,-3.615943882062878,0.0002992552058029,
FAP,DOWN,76,TLL2,-3.3494694870213864,-3.609253665856385,0.0003070792191701,ENSG00000095587.9
FAP,DOWN,77,LRFN4,-1.5245546131306718,-3.5683078531045784,0.0003592942003844,ENSG00000173621.9
FAP,DOWN,78,KDR,-3.509100507835585,-3.564161138165034,0.0003650216739669,ENSG00000128052.10
FAP,DOWN,79,PCSK6,-1.5073887594858764,-3.548786652377927,0.0003870105069404,ENSG00000140479.18
FAP,DOWN,80,RPL11P3,-2.0267465992198845,-3.545097218796187,0.0003924683021077,ENSG00000213613.2
FAP,DOWN,81,CD2AP,-0.6282755384026094,-3.5265807557083724,0.0004209627653651,ENSG00000198087.7
FAP,DOWN,82,TRPM2,-2.635200235563545,-3.5186483655092347,0.0004337512044803,ENSG00000142185.18
FAP,DOWN,83,AL445183.1,-2.1623410416471214,-3.5186352367732923,0.0004337726678399,
FAP,DOWN,84,BMP6,-2.0867311222691995,-3.4513762222666715,0.0005577355165278,ENSG00000153162.9
FAP,DOWN,85,MTMR10,-0.7316385726958655,-3.43698425737709,0.0005882297916375,ENSG00000166912.17
FAP,DOWN,86,AGAP11,-1.9136041561345831,-3.4361891629803933,0.0005899588996389,
FAP,DOWN,87,SLCO2B1,-3.2139487945679943,-3.424659627589206,0.0006155701017298,ENSG00000137491.15
FAP,DOWN,88,PIGO,-2.6708865897123197,-3.4209942872922894,0.0006239264282242,ENSG00000165282.14
FAP,DOWN,89,SCN9A,-1.9626641333484756,-3.4047039018563696,0.0006623583060786,ENSG00000169432.19
FAP,DOWN,90,LYRM9,-1.175880912706635,-3.392084018270824,0.0006936316719894,ENSG00000232859.10
FAP,DOWN,91,GNB1L,-1.1184596522704378,-3.3856288682610494,0.0007101535657516,ENSG00000185838.14
FAP,DOWN,92,SYNPO,-1.4313865943724893,-3.384056918048914,0.0007142319517404,ENSG00000171992.13
FAP,DOWN,93,LAMA5,-2.059934545294833,-3.3777421971851425,0.0007308356241392,ENSG00000130702.15
FAP,DOWN,94,APCDD1L-DT,-1.9926781120569577,-3.3584153789210536,0.000783907185885,
