stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
T3_high,SCENIC__FAP__EGR1,-0.04000340445687035,0.017287926509163814,0.021444527785973666,-0.07404436410637014,-0.0059624448073705635,2.880189851928621e-05,0.06313738585000728,268,0.11772039736092677,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__FOS,0.018662487685386052,0.019920373616871892,0.34969627099450495,-0.02056191751644374,0.057886892887215845,-6.09682864060157e-06,0.7320033605815606,268,0.04445612550031419,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__FOSL2,-0.008604663047473203,0.005784636084497905,0.1380845369162457,-0.01999495692887391,0.002785630833927504,5.613674548170465e-06,0.2780243352855726,268,0.030799851160247194,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__IRF1,0.014138056445282102,0.009670697141227324,0.14495384421850077,-0.004904123713949448,0.03318023660451365,-6.782454992768455e-06,0.4328155202228313,268,0.0869211240199046,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__JUNB,0.0048316378789636785,0.01717454247634878,0.778682758110455,-0.02898606183916677,0.03864933759709413,-1.5859791844333527e-05,0.3019113030655071,268,0.10296338615966327,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__KLF10,0.018710082666131826,0.012706502293029779,0.14209128741143295,-0.006309779120880394,0.04372994445314404,-6.261876013718056e-06,0.5814118292921039,268,0.08904568982513827,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__ATF3,0.0005999038111653088,0.0086062340426147,0.9444810550665523,-0.01634628494221161,0.017546092564542225,3.010836402602212e-06,0.6954723282549264,268,0.07356945611775378,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__CEBPB,0.02377407147549113,0.01759849648522612,0.17788818776079762,-0.010878419002640954,0.05842656195362321,-1.3539523867224076e-05,0.38959645294506706,268,0.06778780116667749,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__EGR1,0.019188970016440824,0.012776550538395054,0.1343298355933189,-0.005968820948644524,0.04434676098152617,-1.452415335267903e-05,0.20402436033899918,268,0.023512188798263556,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__FOS,0.018804370227878002,0.014660566151514601,0.20074843206219584,-0.010063159983914275,0.047671900439670276,-1.0743943039969318e-05,0.4124587038465075,268,0.09041490134161945,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__FOSL2,-0.0060774884453379694,0.00486954823579311,0.2131233012957038,-0.015665919707933837,0.003510942817257899,3.0729242509337754e-06,0.4802831535907589,268,0.06293814406290987,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__IRF1,0.030364577714996753,0.012345461455728068,0.014556727365799927,0.006055626896277606,0.054673528533715904,-1.2987802746826395e-05,0.2397016023063718,268,0.24345162901495443,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__JUNB,0.04372617848972279,0.02408249539306008,0.07056206955896328,-0.003693693031588688,0.09114605001103426,-2.2812070974040695e-05,0.2896485733028921,268,0.12213127603699148,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__MuSC__KLF10,0.008047296730787107,0.00929188720019732,0.3872517072673307,-0.01024898403382378,0.026343577495397993,-4.594998812268573e-06,0.5801032638789092,268,0.05393257740288837,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__Vascular__ATF3,0.0007803989106731168,0.003444019885645329,0.8209150930840574,-0.006001081904691485,0.007561879726037718,-1.224293994221014e-06,0.690815446927898,268,0.0380431955865026,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__Vascular__CEBPB,0.02136092867717645,0.0072362847432503995,0.0034443110427189276,0.007112251901120886,0.03560960545323202,-1.3112038588854625e-05,0.04340170899515138,268,0.10772120582618017,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__Vascular__EGR1,0.035963097537435096,0.018399321138525118,0.05169517277386754,-0.00026626450449185324,0.07219245957936204,-2.507525065317914e-05,0.12807816468217473,268,0.0875793068574302,mlm,803,268,0.000462962962962963,False
