gene_symbol,logFC,moderated_t,p_value
RBPJ,-0.5667886350041633,-7.956868133015668,7.042075854925085e-10
TOMM20,-0.5919027485134878,-7.953839577243088,7.110542770342818e-10
ATP23,-0.6342495544655816,-7.951347859793401,7.16737685127709e-10
PALLD,-0.6274062879748713,-7.9496982870143995,7.205254313894295e-10
FH,-0.6127351847868717,-7.94930401902891,7.214337364147434e-10
PPP2R3C,-0.6035871696542857,-7.935633003492582,7.536538684997325e-10
FNDC3B,-0.6523199975830485,-7.93544701526459,7.541020803316159e-10
WTAP,-0.7101479633828792,-7.928961407829346,7.6990111503628e-10
RPN1,-0.5919278949211148,-7.928571207195995,7.708622346787763e-10
LRP1B,-0.6614021764866301,-7.920646760901658,7.906454352154748e-10
CAPRIN1,-0.5877071452009777,-7.91212715001255,8.124864987159808e-10
FBXO32,-0.7154462996083999,-7.9119549970638685,8.129340544815675e-10
EIF3I,-0.6185428837077872,-7.909806566437552,8.185404226664078e-10
TMBIM6,-0.5635215189885451,-7.908251432454963,8.226229016483194e-10
ANKHD1,-0.5574375136218904,-7.90573724056972,8.29266572988844e-10
HSPB1,-0.707945353804574,-7.904103403696864,8.336129348238446e-10
TMEM164,-0.6069298119969407,-7.901818854568177,8.397289066033114e-10
BAG2,-0.6461014596761584,-7.899724431416792,8.453756706016607e-10
DHRS7B,-0.5949087240249605,-7.8991002508491786,8.470659207197605e-10
FILIP1L,-0.5725830386251108,-7.892965314946956,8.638616019188646e-10
NAE1,-0.610882684145144,-7.887791668748483,8.78286515457199e-10
CRKL,-0.542209976846908,-7.882875694576706,8.922181679976344e-10
WDR61,-0.568405647292436,-7.880158066308992,9.000152993216789e-10
CLIP4,-0.6306075921577028,-7.87678007250003,9.098030037418977e-10
ISCA1,-0.6101676230112274,-7.859901817236554,9.603406403539233e-10
USP53,-0.5731180391176907,-7.858672417922914,9.641306046816785e-10
RPL22,-0.5949474991623075,-7.848775086015705,9.95196890337863e-10
RAN,-0.6107920894640121,-7.838948361202748,1.0270409290698445e-09
CPEB4,-0.6437064916397808,-7.83877534387147,1.027610716341439e-09
NEDD4,-0.6920615368569146,-7.834215144559354,1.0427440659437644e-09
