gene_symbol,logFC,moderated_t,p_value
TCP1,-0.6183435130721485,-8.219837276871894,3.0501406593381916e-10
OBSCN,-0.8162434792014119,-8.217597608742945,3.0718643172470624e-10
GPBP1,-0.6132219813550001,-8.201324038810556,3.2344758033190423e-10
CUL1,-0.6778583009572687,-8.198287643006571,3.2657659032330135e-10
KLHDC1,-0.6174369093572901,-8.18282373304205,3.4299304925182957e-10
NFIA,-0.6866665114173863,-8.182082221313165,3.438008579809455e-10
ASNSD1,-0.6185194112143597,-8.177225695430124,3.491393184992219e-10
CAMK2B,-0.6907252236758984,-8.175493079747506,3.5106406827600564e-10
ADH1A,-0.7885000861695116,-8.174009896556086,3.5272023785760033e-10
NNT,-0.6339965338927549,-8.172601782426373,3.5429988537469975e-10
C6orf62,-0.6196854250440174,-8.164669834141067,3.6333253079472703e-10
CGRRF1,-0.6668150995329927,-8.164567297112235,3.634508069670717e-10
UBE2G1,-0.7299988243942324,-8.161400206564313,3.671232514933304e-10
THUMPD1,-0.6583997329852552,-8.15631619129697,3.730970361574409e-10
RRAGA,-0.6164094738096835,-8.155718670145303,3.7380554860193707e-10
ZC3H15,-0.668656616864071,-8.146356907857118,3.8508541600527116e-10
METAP2,-0.6221734531180495,-8.146041830381103,3.854709718918887e-10
ADRM1,-0.7250562824047087,-8.14503120758464,3.8671028967733675e-10
YTHDF3,-0.5944992902949936,-8.142858853889122,3.8938786717275034e-10
EEF2,-0.6994626461047949,-8.135181612817524,3.990015242993602e-10
LSM12,-0.7037961001380074,-8.133486049352065,4.0115687251905107e-10
RPS12,-0.6803371515029982,-8.131307613132638,4.039433019484644e-10
CHMP2B,-0.6128534127069447,-8.128373384343082,4.0772738531756124e-10
AK6,-0.6419901188518289,-8.117984406849406,4.214155046342997e-10
EXOC6,-0.5940477452321407,-8.10361653399142,4.4111435319937045e-10
ZNF281,-0.6579310836710377,-8.101537528434994,4.4404076176959237e-10
RPS6KA3,-0.6098589308590678,-8.095683940951321,4.523860180072258e-10
GPHN,-0.5557369361799758,-8.095080143866946,4.532557918968889e-10
HNRNPR,-0.5892395197014613,-8.09235325244232,4.5720498094098695e-10
FBXO34,-0.630065280729977,-8.08807890626804,4.6346529354147465e-10
CELF2,-0.6681864768564298,-8.077142244277761,4.798803873050057e-10
RPN2,-0.6857394546028552,-8.072515040699155,4.870010487530464e-10
WBP11,-0.6194961772076307,-8.064611537413397,4.994111605979543e-10
PPP1CB,-0.8309527360952115,-8.061082586939484,5.050549849929885e-10
WBP4,-0.6262956496295717,-8.058790256062982,5.087555526566783e-10
CLK1,-0.6966710410916175,-8.052783187444044,5.185833170865897e-10
NSL1,-0.6274601031530083,-8.052364054223755,5.192761446761747e-10
RASL12,-0.5554488668443758,-8.04180750739339,5.370377299795186e-10
RASA1,-0.5961848382186911,-8.038054117213676,5.434996473153385e-10
SNRPD3,-0.5654586438175483,-8.03601445982285,5.470440276977215e-10
MORF4L2,-0.6516495302219487,-8.035249489481325,5.48379351468084e-10
ODC1,-0.6672571855534936,-8.03412015257658,5.503567272163467e-10
MYOZ2,-0.7949692915267311,-8.030714260254681,5.563638636074314e-10
CISD1,-0.6472873092775172,-8.025141348671289,5.663361979715829e-10
HMGN2,-0.6741202469873238,-8.022387647919025,5.713301726311397e-10
KLF10,-0.7060662519424704,-8.02164113679134,5.726916517706831e-10
CHURC1,-0.6147673875364446,-8.019141242586421,5.772748280528961e-10
AMY2B,-0.5924127821057249,-8.018276827293967,5.788682030564304e-10
RPUSD4,-0.5545027891031835,-8.018234807240265,5.789457716006611e-10
SH3RF2,-0.7049738587511857,-8.016915875543573,5.813858457545944e-10
COPS4,-0.6005928623853154,-8.01674243849962,5.817074823801175e-10
ARHGEF7,-0.5805771024317707,-8.005998372002251,6.01986487846253e-10
RBM3,-0.7589684066769615,-8.005626630802539,6.02700768912599e-10
PHYH,-0.5831907208568262,-8.005283403126322,6.033610223812311e-10
MMGT1,-0.6149770862964353,-7.997321524476031,6.188835966527169e-10
CPNE3,-0.6088278852522443,-7.995793556977269,6.219083353855686e-10
MRPL19,-0.6617117334834037,-7.995493258589566,6.225045534031654e-10
BIN1,-0.6457811683032778,-7.988065703536606,6.374364147332252e-10
SGCG,-0.629732308098959,-7.984154486134614,6.45444059958918e-10
PABPC3,-0.7684011854671088,-7.980830166305246,6.523299059499485e-10
PICALM,-0.6217831972537211,-7.974153165024823,6.663852240021902e-10
SEC24B,-0.5974956921685947,-7.969086003637014,6.772554721243967e-10
OSTM1,-0.6571128891484397,-7.969083858604147,6.772601114186926e-10
CETN2,-0.6580990390774039,-7.960659330607203,6.957304791916892e-10
GCFC2,-0.579036509301204,-7.958057529312997,7.015369354785792e-10
