Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Presynaptic Modulation Of Chemical Synaptic Transmission (GO:0099171) BP	0.29579716819768465	0.721255842692591	0.953	1.0	1.0	28/42	58.82%	GSK3B;GRM8;HTR1B;CYTH1;ADORA2B;ADRA1A;DRD2;OPRM1;DGKI;YWHAH;NR3C2;GIPC1;GRM4;CHRM2;HTR2A;GRM2;GRM7;NRXN3;ADCY1;NGFR;GLRA3;ADRA2A;CHRNA6;MYO6;CHRNA3;BACE1;SYT12;PFN2
prerank	Presynaptic Active Zone Cytoplasmic Component (GO:0098831) CC	0.3157384720676582	0.7166482275559382	0.8992950654582075	1.0	1.0	6/21	29.42%	RIMS1;GUCY1B1;CTBP2;PCLO;RIMS2;ERC2
prerank	Presynapse Assembly (GO:0099054) BP	0.32226019006217577	0.7140310016688907	0.8876518218623481	1.0	1.0	7/16	43.89%	NRXN1;CLEC3B;PTPRS;PPFIA1;DVL1;PPFIA3;FZD5
prerank	Regulation Of Presynapse Assembly (GO:1905606) BP	0.3017207829878014	0.7049273179693828	0.93687374749499	1.0	1.0	11/27	40.99%	ARF6;SLITRK1;NRXN1;CBLN2;LRFN4;LRFN3;GRID2;LRRTM3;APP;MDGA1;LRRC4B
prerank	Synaptic Vesicle Membrane (GO:0030672) CC	0.3439848607731822	0.7038527391477507	0.865546218487395	1.0	1.0	9/9	65.62%	SH3GL2;ANXA5;PRKN;SLC17A7;SNCA;CLTA;DTNBP1;CLTB;DNM1L
prerank	Extrinsic Component Of Postsynaptic Membrane (GO:0098890) CC	0.35246174578380235	0.6866815476869716	0.8932893289328933	1.0	1.0	3/7	44.35%	MAGI2;FBXO2;CRKL
prerank	Presynaptic Membrane (GO:0042734) CC	0.334238194275385	0.6825260210311459	0.8874734607218684	1.0	1.0	1/9	7.13%	PRRT2
prerank	Trans-Synaptic Signaling (GO:0099537) BP	0.3610656300870745	0.6628015192193181	0.9024943310657596	1.0	1.0	3/5	49.39%	PTPRS;NRXN3;EIF4E
prerank	Neurotransmitter Reuptake (GO:0098810) BP	-0.27693388831828747	-0.6511990841314789	0.9548387096774194	0.9622316251371258	1.0	5/5	72.32%	SLC6A5;SLC1A2;SLC6A1;SLC6A4;SLC6A2
prerank	Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels (GO:0099072) BP	0.274212399254126	0.6439938855993819	0.97	1.0	1.0	14/31	50.59%	CPT1C;RALBP1;FLOT2;PRKCI;ERBIN;STX12;EPS8;PPFIA1;PRKN;YWHAE;ZDHHC5;SNX6;NRXN3;HSP90AA1
prerank	Regulation Of Modification Of Postsynaptic Actin Cytoskeleton (GO:1905274) BP	0.2980173363879387	0.6229986056662234	0.9306418219461697	1.0	1.0	2/10	27.49%	CTTNBP2;PTK2
prerank	Synapse Assembly (GO:0007416) BP	0.290457985915399	0.5854838880146487	0.964248159831756	1.0	1.0	7/9	67.62%	NRXN1;CDH9;ADGRL3;CADM1;SYDE2;ERBB4;NRG3
prerank	Postsynaptic Specialization Assembly (GO:0098698) BP	0.29208563087901396	0.5576404793922047	0.9612756264236902	1.0	1.0	6/6	70.80%	CRK;CRKL;NLGN1;NLGN2;NTNG2;DOCK7
prerank	Postsynaptic Density, Intracellular Component (GO:0099092) CC	0.22891086633365482	0.5464371529136682	0.997	1.0	1.0	30/39	71.37%	SYNGAP1;ANKS1B;FAM81A;PTK2B;NOS1;ACTN2;DLG1;DNM2;NR3C2;CRIPT;SNX1;ARHGEF2;SHANK3;AKAP5;TANC2;NR3C1;ABR;SH3GL3;DLGAP2;DICER1;IQSEC1;EXOC4;PSD;CABP1;DLGAP1;TANC1;CTNNA2;GAPDH;GRID2IP;FYN
prerank	Modification Of Postsynaptic Actin Cytoskeleton (GO:0098885) BP	0.25896876654537737	0.5374065475759662	0.9915966386554622	1.0	1.0	7/10	69.00%	ITPKA;WASF1;CTTN;PFN2;PFN1;CABP1;CTNNA2
prerank	Regulation Of Postsynaptic Cytosolic Calcium Levels (GO:0099566) BP	0.29604087952643354	0.5372568494291935	0.9820359281437125	1.0	1.0	2/5	48.48%	WNT5A;FZD9
prerank	Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887) BP	0.24106168513524284	0.4747535558138338	0.9956140350877193	1.0	1.0	5/7	69.19%	RAB8A;NSG1;RAB11A;GRIP1;SCRIB
prerank	Regulation Of Postsynaptic Neurotransmitter Receptor Endocytosis (GO:0099149) BP	0.19774774552619345	0.46497900881792015	0.9979959919839679	0.9968145536232151	1.0	14/27	63.87%	RNF216;ATAD1;SIRT2;GSG1L;NUMB;LPAR1;NEDD4;HPCA;AKAP5;PIP5K1C;VAC14;NRG1;DRD4;IQSEC1
