gene,log2FC,padj,log2FC_tech,pvalue_tech,padj_tech,abs_age,abs_tech,tech_over_age,tech_dominates
DYNLT1,1.6071526648147163,0.1207524747198935,-3.9905708802416515,3.3104465490891156e-22,1.460883781228359e-19,1.6071526648147163,3.9905708802416515,2.4830067283631156,True
ARHGEF3,1.107311324601544,0.1207524747198935,0.22264896256757558,0.4407970594721854,0.5380590415785498,1.107311324601544,0.22264896256757558,0.20107169286622603,False
POC5,1.0211762460059362,0.1207524747198935,-0.8971044992607575,0.0005330995586743059,0.0019136560901391706,1.0211762460059362,0.8971044992607575,0.8785011429413357,False
JAG1,2.317363297331474,0.1207524747198935,-2.5433805201480078,3.7666231311245414e-05,0.00017791494659894985,2.317363297331474,2.5433805201480078,1.0975320628736982,True
TPCN1,0.7624474650667243,0.12443444521104428,-0.6344051776449672,0.0019342190133665265,0.005894247011654592,0.7624474650667243,0.6344051776449672,0.8320641181349435,False
PTGFR,2.7788998148988675,0.1287168606319706,-1.0661086990938304,0.14186751335912573,0.21222181673322066,2.7788998148988675,1.0661086990938304,0.3836441649957896,False
EPOR,1.2000070172582595,0.12901310591935,-0.9577940880639355,0.0017225279337693238,0.005325454168960196,1.2000070172582595,0.9577940880639355,0.7981570726580208,False
SNRNP40,0.9368172230729092,0.12901310591935,-1.355156644817376,2.92490679442852e-08,2.735773662238406e-07,0.9368172230729092,1.355156644817376,1.4465539397026104,True
TNRC6A,0.42236149299305364,0.1303487616150506,-0.36046532486019334,0.001198471376101621,0.0038911652361934067,0.42236149299305364,0.36046532486019334,0.8534521513923187,False
NPM1P40,-2.9918721966920554,0.13303588275643208,-1.958167630621588,0.02153193749950784,0.04524379248686687,2.9918721966920554,1.958167630621588,0.6544957477751302,False
ADAM10,0.7549897038378406,0.13303588275643208,-0.9905474995979152,7.431102464094612e-07,5.082262378835438e-06,0.7549897038378406,0.9905474995979152,1.312001335333003,True
ODF3B,2.3549771491653657,0.13303588275643208,-3.254610295266865,7.866420265308092e-08,6.669485578640268e-07,2.3549771491653657,3.254610295266865,1.3820135352142764,True
BAIAP2L1,2.030662794918776,0.13418591272064587,-1.2560592316377086,0.016686819350513787,0.03669273730570827,2.030662794918776,1.2560592316377086,0.6185464345831723,False
AC005323.2,-2.5939781701810167,0.13418591272064587,3.446583181565941,1.6837415095486763e-05,8.610303513590582e-05,2.5939781701810167,3.446583181565941,1.328686270835281,True
PRKAR2B,1.5590689184599884,0.13418591272064587,-1.131233507179876,0.004126387398028508,0.011336113042766343,1.5590689184599884,1.131233507179876,0.7255827460772433,False
SLC38A1,1.4077133303923755,0.13418591272064587,-1.8569240975536303,1.0354383719575094e-06,6.8551317104584835e-06,1.4077133303923755,1.8569240975536303,1.3191067083495225,True
WNK2,-1.7291864123553538,0.13418591272064587,1.6261480905617738,0.0012246795388803366,0.003961445386580123,1.7291864123553538,1.6261480905617738,0.9404122533826589,False
PHF12,1.317607177313508,0.1354483924880949,-1.5387390203375608,6.725292926375633e-06,3.722767022107869e-05,1.317607177313508,1.5387390203375608,1.1678283534208749,True
IFIH1,1.4519040627698252,0.13916617137651804,-2.8350969266873807,1.6958061656851376e-13,5.6990519568137605e-12,1.4519040627698252,2.8350969266873807,1.9526751108326068,True
