target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
CCDC190,,False,,False,0.2950340513602308,True,False
CCDC191,,False,,False,0.2245328481414945,True,False
CCDC26,,False,,False,0.0621565942348924,True,False
CCL17,0.2623661265156317,True,,False,,False,False
CCN2,,False,,False,0.307120862358736,True,False
CCT7P1,,False,,False,0.3217302468897821,True,False
CD9,,False,,False,0.2808339416771629,True,False
CDCA8,,False,1.8083124982793832,True,,False,False
CEBPB,,False,,False,0.3747959021268934,True,False
CENPE,,False,0.1508001541715539,True,,False,False
CENPF,,False,0.1011686118729005,True,,False,False
CEP152,,False,,False,4.9310934473658014e-05,True,False
CEP55,,False,1.5573382893077174,True,,False,False
CFDP1,0.3180895531932649,True,,False,,False,False
CFL2,0.2120289277433055,True,,False,,False,False
CGN,,False,,False,0.3959218703374955,True,False
CHMP1B2P,,False,,False,0.0645289839547109,True,False
CHMP4BP1,0.042535373647289,True,,False,,False,False
CLEC16A,,False,,False,0.1033859478934598,True,False
CLK1,,False,0.07586646389126,True,,False,False
CNIH3,,False,,False,0.1241354808039329,True,False
CNTN4,,False,,False,0.0702246442807954,True,False
CNTNAP3C,,False,,False,0.2855187540128025,True,False
COL24A1,,False,,False,0.0011280599398497,True,False
COL28A1,,False,,False,0.0005998861173915,True,False
COX7A2P1,,False,,False,0.5091342833632929,True,False
CPA6,,False,,False,0.4456305672571052,True,False
CPNE4,,False,,False,0.3197695495571963,True,False
CPNE5,,False,,False,0.1430535198652438,True,False
CR1L,,False,,False,0.3758579698360528,True,False
CREM,0.23720535250876,True,,False,,False,False
CRY1,,False,,False,0.0588803436727003,True,False
CSTF2,,False,0.5378274695439756,True,,False,False
CTBP1,,False,,False,0.613616575661407,True,False
CTCFL,,False,0.0122953847688203,True,,False,False
CTSE,,False,,False,0.3452413692950872,True,False
CXCL2,0.0913840779259904,True,,False,,False,True
CXCL9,,False,,False,0.6000960379486544,True,False
CYCS,,False,,False,0.0380338331012386,True,False
CYP1B1,,False,,False,1.163931835325353,True,False
CYP2B6,,False,,False,0.778119138469331,True,False
CYP4F8,,False,,False,0.0002083679657915,True,False
CYP4Z2P,0.2036456775195331,True,,False,,False,False
DAOA,,False,,False,0.4484133129330245,True,False
DBX2,0.0120395336863732,True,,False,,False,False
DCBLD1,0.1383018908735138,True,,False,,False,False
DCLK2,,False,0.157258417888557,True,,False,False
DCUN1D2-AS,,False,,False,0.4098140577929995,True,False
DDIT4,,False,0.2828251641152347,True,,False,False
DDX18P4,,False,,False,0.5959255916666784,True,False
DEPDC5,,False,,False,1.5538966341451417e-05,True,False
DEPP1,,False,,False,0.0767633266650802,True,False
DGKK,,False,,False,0.4385704380733531,True,False
DIP2B,,False,,False,0.1354701360163176,True,False
DIS3,,False,,False,0.0718876286661836,True,False
DLG2,,False,,False,0.1752198291134947,True,False
DLX2,,False,,False,0.0012607688755649,True,False
DOCK5,,False,,False,0.113320604578048,True,False
DOK6,,False,,False,0.1273742405469523,True,False
DSCAML1,,False,,False,0.1366578050874981,True,False
DSCR8,,False,,False,0.5267695984906513,True,False
DYSF,,False,,False,0.1943221210416539,True,False
E2F6,,False,,False,0.2207128376783631,True,False
EFCAB13,,False,,False,0.0004605271981128,True,False
EFCAB3,0.1937172345803926,True,,False,,False,False
EGR1,,False,,False,0.1221676996782162,True,False
EGR3,0.8201075087747176,True,,False,1.496583918875736,True,False
EIF1B-AS1,,False,,False,0.6142463519486258,True,False
EIF4BP5,0.0001735772144621,True,,False,,False,False
EIF5A2,,False,1.6446189019377089,True,,False,False
ELF1,0.1601619588422387,True,,False,,False,False
ELK3,,False,,False,0.3307270332195876,True,False
ELMO1,,False,,False,0.0532999217995599,True,False
EN2,1.3591016195622684e-06,True,,False,,False,False
ERBB4,,False,,False,0.4129676460482654,True,False
ERFE,0.4183844956077854,True,,False,,False,False
ETS2,0.0912309060183764,True,,False,0.2040520469513984,True,False
EVA1C,,False,0.8157280763581906,True,,False,False
EVX2,,False,,False,0.0071214812403917,True,False
EXOC2,,False,0.1499715479964331,True,,False,False
EYA2,,False,,False,0.0989189636058088,True,False
EZH2,,False,0.1960008152263321,True,0.3901039505739612,True,False
FAM106A,,False,,False,0.1410799932242518,True,False
FAM189A1,,False,,False,2.4172708507667132e-05,True,False
FAM193B,,False,,False,0.0782055843634605,True,False
FANCB,,False,0.0907921894140607,True,,False,False
FAR2P1,,False,,False,0.4824045513327339,True,False
FER1L6-AS1,,False,,False,0.3123433897706009,True,False
FGD4,,False,,False,8.48392285593097e-06,True,False
FGF13,,False,,False,0.0629176730764423,True,False
FKBP5,,False,,False,0.1069452279922209,True,False
FLRT2,,False,,False,0.1055200686677334,True,False
FMC1-LUC7L2,,False,,False,0.1824883259951321,True,False
FOS,,False,,False,0.131452835649414,True,False
FOSB,,False,,False,0.0898550607766732,True,False
FOXA1,,False,,False,0.0006222800394162,True,False
FOXC1,,False,,False,0.3997461997836137,True,False
FOXE3,,False,,False,0.0018978726953572,True,False
FOXN3,,False,,False,0.1118016027370192,True,False
FOXP3,0.6274175587763051,True,,False,,False,False
FOXS1,,False,0.4905960444921634,True,,False,False
FTO,,False,,False,0.1426788599203772,True,False
GACAT2,6.47531085147601e-05,True,,False,,False,False
GADD45B,,False,,False,0.1468664416261388,True,False
GADL1,0.3263027612765746,True,,False,,False,False
GDF1,,False,,False,0.0869914503144747,True,False
GLI3,,False,,False,0.1029495539509281,True,False
GLRA1,,False,,False,0.211051797904518,True,False
