gene,log2FC,lfcSE,stat,pvalue,padj
FAM210A,-12.020208032861639,3.121005536388057,-3.851389525816938,0.000117449511060869,0.0001640409328710601
FAM210B,-9.863985696020091,2.5931477401168728,-3.80386568162735,0.000142455443084636,0.0001935919788698646
FAM214A,-10.917259238824638,2.435956951696015,-4.481712713036076,7.404637859371867e-06,2.098830555882305e-05
FAM214B,-11.569965838411088,2.7892979307370287,-4.147984950232226,3.354144420900383e-05,6.079453766109109e-05
FAM215B,-10.685970897455118,2.6082806800731855,-4.09694055516881,4.1864635144056955e-05,7.09252020524063e-05
FAM216A,-11.496290147818055,2.8642965741828883,-4.013652165574948,5.9786430154569286e-05,9.306277449596356e-05
FAM217A,-11.057188858358494,2.9680129762513285,-3.7254516563212565,0.00019496581693773248,0.000253406311267271
FAM217B,-10.503526862920891,2.5269412087188994,-4.156617030376396,3.229947510604032e-05,5.914168690760651e-05
FAM219A,-9.578184703193601,2.027806041823647,-4.723422509669487,2.3190834792421962e-06,1.0736550283550936e-05
FAM219B,-11.748418472281102,3.2208449307213427,-3.6476200267269365,0.00026468067680664344,0.00032500912932007593
FAM21EP,-12.173103215210302,2.620332791982864,-4.645632513723055,3.3903606089716328e-06,1.3304623648207453e-05
FAM21FP,-12.339793957547082,3.0001602732174306,-4.113044915535011,3.9047437648719484e-05,6.828852382613832e-05
FAM220A,-11.745460069878169,2.4410550398087185,-4.811632625374372,1.4970234209582726e-06,8.22962090253268e-06
FAM221A,-12.096651613256197,2.85643444211588,-4.234878082584561,2.2867573775449506e-05,4.580142833284975e-05
FAM222A,-12.958184872067203,3.0109115192731584,-4.303741504564485,1.6793759617152027e-05,3.658173039283217e-05
FAM222B,-7.9533959828164615,2.3510456994004576,-3.3829184965841645,0.0007171991334428467,0.0008143989156850381
FAM223B,-12.713892133498684,2.5889640010564805,-4.910802980771658,9.070418821933655e-07,6.428869564507549e-06
FAM224A,-12.943443270904737,2.8155924471841147,-4.597058528072671,4.284972817789246e-06,1.5152686601363753e-05
FAM225B,-11.604260502719198,2.6700033309858693,-4.3461595601959235,1.3854180608660763e-05,3.192885575500541e-05
FAM227A,-7.35799488024445,3.0833885386359765,-2.386333991985151,0.01701728838408747,0.01723270673319718
FAM227B,-7.034610118038979,3.1429983765303358,-2.2381844580539454,0.02520902874932461,0.025432584752939386
FAM228A,-12.128457168112956,2.5388643316096355,-4.77711905166021,1.778245022555985e-06,9.087514461770867e-06
FAM228B,-8.074441939000812,2.698303798840281,-2.9924139537109093,0.002767806792485098,0.002947198061007015
FAM229A,-10.126364620291197,2.195800152489529,-4.611696838079843,3.993952032163376e-06,1.4623820161110574e-05
FAM229B,-10.913638909737237,2.488308176481373,-4.385967547303494,1.1547133786050346e-05,2.8152616211243738e-05
FAM230C,-6.8799528272895705,3.0979834486014477,-2.22078424285819,0.026365578332926604,0.02659109582033792
FAM230F,-9.240406048900136,3.2042694705793755,-2.883779324349192,0.003929339987131817,0.0041340425675563345
FAM234A,-13.481213645472595,3.185280901027924,-4.232346868096331,2.312653689343608e-05,4.616131799775167e-05
FAM234B,-10.792653694680325,2.2860497302183234,-4.72109313809617,2.345804834373263e-06,1.0787462044561506e-05
FAM241A,-12.365969682720888,2.3541256175817633,-5.252892874690191,1.4972863106469816e-07,2.533412913806952e-06
FAM242C,-12.924724964165227,2.934139915170189,-4.404945005294866,1.0581071789875435e-05,2.6522821810023222e-05
FAM24B,-9.789921291150804,1.9497230995825428,-5.021185466411581,5.135354311432217e-07,4.804102737872477e-06
FAM27C,-11.656895439046083,2.7908021099084124,-4.176897888123151,2.9551160299832262e-05,5.5253445492889216e-05
FAM27E3,-12.335437023998685,2.320279281737776,-5.316358733660736,1.0586434043467966e-07,2.166964559765563e-06
FAM32A,-9.233167973012128,2.560489621647469,-3.6060165582984585,0.00031093330493585814,0.0003757055449638606
FAM3A,-11.08917058344249,2.4859086268928396,-4.460811818857135,8.164976326217145e-06,2.239754017317702e-05
FAM3B,-11.588016020094903,3.175672144580645,-3.6489963360575843,0.00026326685841515613,0.0003234437731405394
FAM3C,-10.082986493888201,2.9034350247560448,-3.4727784186372155,0.0005151004338727281,0.0005971303560061801
FAM3C2,-9.650167260991596,3.14587249458044,-3.067564651020169,0.00215810771820102,0.0023194740140691653
FAM41C,-13.164830336665434,3.148029813122347,-4.181926829850448,2.8904900044560413e-05,5.434807834175367e-05
FAM43A,-10.987383739193321,2.747431767136064,-3.9991470836950476,6.357116547290974e-05,9.792390386753784e-05
FAM43B,-11.469515145425817,2.376291987434855,-4.826643866188708,1.3885309856846537e-06,7.948154989864697e-06
FAM47E,-12.973784654481298,3.0365572345386047,-4.272530913270477,1.932667499043954e-05,4.057900840795459e-05
FAM47E-STBD1,-12.511621045364851,2.4723588447454534,-5.060600758646348,4.179375258822675e-07,4.305736803133382e-06
FAM49A,-7.428294263221177,2.989912182478908,-2.484452321627202,0.012975088192151284,0.01322868820455361
FAM49B,-7.664754018368028,2.9074618538977552,-2.6362354533018646,0.00838315395222848,0.008652209816480537
FAM50A,-10.812894291343596,2.409059761245063,-4.488429247498294,7.175024556118955e-06,2.05796757792952e-05
FAM50B,-11.24981633911474,2.8888873055970157,-3.894169328557405,9.853580422066663e-05,0.0001412136527031507
FAM53A,-12.003635019810694,2.8883709962486366,-4.155849451265365,3.240811823887246e-05,5.928786980281484e-05
FAM53B,-8.152000161568111,1.5722786227418342,-5.18483177450582,2.1620993330275718e-07,3.0592354250256998e-06
FAM53C,-10.990920692433376,2.5718036837708342,-4.273623512475202,1.9232166934460733e-05,4.0423083021934504e-05
FAM66A,-13.105926244227131,3.241976596551753,-4.042572749651222,5.286790187732814e-05,8.425147336342615e-05
FAM66B,-12.307015983660168,2.4756825942456944,-4.97116068605311,6.655326031100424e-07,5.512986681964234e-06
FAM66C,-11.280169253640414,2.490242550972899,-4.529747212468692,5.905429993109775e-06,1.8123899419668937e-05
